Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
12/4/2024,Airport,Departure,30705,8177,17066,55948
13-04-2024,Airport,Arrival,25872,7678,22337,55887
13-04-2024,Airport,Departure,27410,7004,19832,54246
14-04-2024,Airport,Arrival,33511,8269,18926,60706
14-04-2024,Airport,Departure,26569,9088,24260,59917
15-04-2024,Airport,Arrival,28028,9672,19068,56768
15-04-2024,Airport,Departure,24927,7400,21336,53663
16-04-2024,Airport,Arrival,23780,7929,15339,47048
16-04-2024,Airport,Departure,21813,6839,19983,48635
17-04-2024,Airport,Arrival,22885,8856,17246,48987
17-04-2024,Airport,Departure,24080,7262,18037,49379
18-04-2024,Airport,Arrival,22102,7866,18383,48351
18-04-2024,Airport,Departure,27932,6938,16693,51563
19-04-2024,Airport,Arrival,24431,9038,19581,53050
19-04-2024,Airport,Departure,29837,8615,18450,56902
20-04-2024,Airport,Arrival,25359,8992,19300,53651
20-04-2024,Airport,Departure,26541,8302,19604,54447
21-04-2024,Airport,Arrival,31755,9339,17426,58520
21-04-2024,Airport,Departure,25715,10183,23607,59505
22-04-2024,Airport,Arrival,30620,9559,17399,57578
22-04-2024,Airport,Departure,24814,8502,18258,51574
23-04-2024,Airport,Arrival,23383,8651,13927,45961
23-04-2024,Airport,Departure,22920,7854,16893,47667
24-04-2024,Airport,Arrival,24418,8362,16794,49574
24-04-2024,Airport,Departure,24542,7653,18269,50464
25-04-2024,Airport,Arrival,23523,8170,16320,48013
25-04-2024,Airport,Departure,27360,7649,16138,51147
26-04-2024,Airport,Arrival,23463,9317,19437,52217
26-04-2024,Airport,Departure,31856,11136,17393,60385
27-04-2024,Airport,Arrival,25506,9372,20887,55765
27-04-2024,Airport,Departure,29132,14281,17585,60998
28-04-2024,Airport,Arrival,31020,10364,14940,56324
28-04-2024,Airport,Departure,22482,12120,22594,57196
29-04-2024,Airport,Arrival,27718,11262,12188,51168
29-04-2024,Airport,Departure,17558,14977,19217,51752
30-04-2024,Airport,Arrival,22249,12827,11577,46653
30-04-2024,Airport,Departure,21092,23672,17726,62490
1/5/2024,Airport,Arrival,31253,16663,16730,64646
1/5/2024,Airport,Departure,24086,23814,16173,64073
2/5/2024,Airport,Arrival,22871,13907,15144,51922
2/5/2024,Airport,Departure,20505,15344,13583,49432
3/5/2024,Airport,Arrival,16975,14305,19394,50674
